,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
0,Alec Burks,NYK,@POR,2021-01-24,L,27,18,6,9,66.7,5,8,62.5,1,2,50.0,0,4,4,1,3,0,2,1,-5,2020-21
1,Carmelo Anthony,POR,vs.NYK,2021-01-24,W,26,12,3,14,21.4,2,10,20.0,4,4,100,0,4,4,1,1,2,0,1,-7,2020-21
2,Immanuel Quickley,NYK,@POR,2021-01-24,L,24,31,9,18,50.0,5,8,62.5,8,8,100,1,2,3,4,0,0,1,3,2,2020-21
3,Obi Toppin,NYK,@POR,2021-01-24,L,15,4,2,5,40.0,0,2,0.0,0,0,-,0,3,3,0,0,0,1,1,-1,2020-21
4,Gary Trent Jr.,POR,vs.NYK,2021-01-24,W,21,11,4,10,40.0,3,7,42.9,0,0,-,0,0,0,0,0,0,1,1,-7,2020-21
5,Anfernee Simons,POR,vs.NYK,2021-01-24,W,23,16,6,9,66.7,4,6,66.7,0,0,-,2,1,3,2,0,0,2,3,4,2020-21
6,Kevin Knox II,NYK,@POR,2021-01-24,L,18,2,0,3,0.0,0,3,0.0,2,2,100,0,1,1,2,0,0,0,1,-3,2020-21
7,Harry Giles III,POR,vs.NYK,2021-01-24,W,19,5,2,7,28.6,0,1,0.0,1,1,100,1,7,8,1,0,1,0,1,-2,2020-21
8,Derrick Jones Jr.,POR,vs.NYK,2021-01-24,W,31,14,5,8,62.5,1,3,33.3,3,5,60.0,2,3,5,2,0,0,2,3,4,2020-21
9,Nerlens Noel,NYK,@POR,2021-01-24,L,22,6,3,6,50.0,0,0,-,0,0,-,2,9,11,1,1,0,0,0,-3,2020-21
10,Austin Rivers,NYK,@POR,2021-01-24,L,29,3,1,3,33.3,1,3,33.3,0,0,-,0,2,2,3,2,0,2,1,6,2020-21
11,Nassir Little,POR,vs.NYK,2021-01-24,W,6,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,-3,2020-21
12,Rodney Hood,POR,vs.NYK,2021-01-24,W,27,7,3,6,50.0,1,3,33.3,0,0,-,1,1,2,1,3,0,2,0,11,2020-21
13,Robert Covington,POR,vs.NYK,2021-01-24,W,28,4,1,7,14.3,0,6,0.0,2,2,100,0,3,3,2,0,2,0,2,8,2020-21
14,Damian Lillard,POR,vs.NYK,2021-01-24,W,35,39,11,17,64.7,6,10,60.0,11,11,100,1,4,5,8,1,0,3,2,2,2020-21
15,Enes Kanter,POR,vs.NYK,2021-01-24,W,24,8,4,5,80.0,0,0,-,0,0,-,2,6,8,1,0,3,1,3,5,2020-21
16,RJ Barrett,NYK,@POR,2021-01-24,L,23,8,4,9,44.4,0,2,0.0,0,0,-,1,3,4,2,0,0,0,2,-2,2020-21
17,Mitchell Robinson,NYK,@POR,2021-01-24,L,26,8,4,7,57.1,0,0,-,0,0,-,5,4,9,0,0,0,0,3,0,2020-21
18,Julius Randle,NYK,@POR,2021-01-24,L,33,25,7,18,38.9,1,1,100,10,11,90.9,3,4,7,5,2,0,5,6,-4,2020-21
19,Elfrid Payton,NYK,@POR,2021-01-24,L,24,8,3,8,37.5,0,2,0.0,2,2,100,1,2,3,2,1,0,1,2,-5,2020-21
20,Bobby Portis,MIL,vs.ATL,2021-01-24,W,27,21,9,16,56.3,1,2,50.0,2,2,100,2,4,6,1,0,0,0,2,-1,2020-21
21,Donte DiVincenzo,MIL,vs.ATL,2021-01-24,W,26,9,4,8,50.0,1,4,25.0,0,0,-,4,5,9,5,0,0,2,0,14,2020-21
22,De'Andre Hunter,ATL,@MIL,2021-01-24,L,42,33,13,21,61.9,2,5,40.0,5,6,83.3,0,4,4,4,1,0,2,4,-1,2020-21
23,Rajon Rondo,ATL,@MIL,2021-01-24,L,30,7,3,6,50.0,0,3,0.0,1,2,50.0,1,3,4,7,1,0,2,2,-7,2020-21
24,Cam Reddish,ATL,@MIL,2021-01-24,L,28,5,1,8,12.5,0,5,0.0,3,4,75.0,2,2,4,1,2,0,1,2,-8,2020-21
25,Brandon Goodwin,ATL,@MIL,2021-01-24,L,14,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,5,0,0,2,1,-11,2020-21
26,John Collins,ATL,@MIL,2021-01-24,L,37,30,12,19,63.2,6,9,66.7,0,0,-,1,6,7,3,0,0,1,5,-8,2020-21
27,Pat Connaughton,MIL,vs.ATL,2021-01-24,W,16,2,1,5,20.0,0,3,0.0,0,0,-,3,1,4,1,1,1,1,3,16,2020-21
28,Giannis Antetokounmpo,MIL,vs.ATL,2021-01-24,W,36,27,9,13,69.2,0,2,0.0,9,15,60.0,3,11,14,8,0,1,5,4,12,2020-21
29,D.J. Augustin,MIL,vs.ATL,2021-01-24,W,16,9,3,6,50.0,3,4,75.0,0,0,-,0,1,1,3,0,0,0,0,11,2020-21
30,Onyeka Okongwu,ATL,@MIL,2021-01-24,L,16,4,2,2,100,0,0,-,0,2,0.0,1,1,2,0,1,3,0,4,-6,2020-21
31,Kevin Huerter,ATL,@MIL,2021-01-24,L,29,8,3,11,27.3,2,6,33.3,0,0,-,0,2,2,2,2,0,1,0,-8,2020-21
32,Solomon Hill,ATL,@MIL,2021-01-24,L,20,9,3,5,60.0,1,3,33.3,2,2,100,0,1,1,3,1,1,0,2,-8,2020-21
33,Tony Snell,ATL,@MIL,2021-01-24,L,5,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-8,2020-21
34,Brook Lopez,MIL,vs.ATL,2021-01-24,W,26,12,4,6,66.7,1,2,50.0,3,3,100,1,2,3,0,0,0,1,0,12,2020-21
35,Danilo Gallinari,ATL,@MIL,2021-01-24,L,19,17,4,8,50.0,3,6,50.0,6,6,100,0,3,3,2,0,0,0,2,-5,2020-21
36,Torrey Craig,MIL,vs.ATL,2021-01-24,W,13,4,2,3,66.7,0,1,0.0,0,0,-,1,1,2,2,1,0,0,2,4,2020-21
37,Jrue Holiday,MIL,vs.ATL,2021-01-24,W,33,15,6,13,46.2,2,4,50.0,1,3,33.3,1,4,5,5,1,0,4,0,2,2020-21
38,Khris Middleton,MIL,vs.ATL,2021-01-24,W,33,19,9,16,56.3,1,6,16.7,0,0,-,1,7,8,7,1,0,2,4,1,2020-21
39,Bryn Forbes,MIL,vs.ATL,2021-01-24,W,14,11,3,5,60.0,1,3,33.3,4,4,100,0,0,0,0,0,0,1,1,-1,2020-21
40,LaMarcus Aldridge,SAS,vs.WAS,2021-01-24,W,24,15,7,13,53.8,1,3,33.3,0,0,-,0,2,2,0,0,2,0,1,3,2020-21
41,Rudy Gay,SAS,vs.WAS,2021-01-24,W,22,13,5,9,55.6,1,3,33.3,2,2,100,1,5,6,0,1,1,2,1,23,2020-21
42,Trey Lyles,SAS,vs.WAS,2021-01-24,W,3,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,0,0,0,1,2020-21
43,Dejounte Murray,SAS,vs.WAS,2021-01-24,W,31,11,5,13,38.5,1,3,33.3,0,0,-,0,11,11,10,1,0,1,1,10,2020-21
44,Jakob Poeltl,SAS,vs.WAS,2021-01-24,W,21,4,2,4,50.0,0,0,-,0,0,-,3,3,6,1,2,1,0,1,16,2020-21
45,Lonnie Walker IV,SAS,vs.WAS,2021-01-24,W,30,16,6,13,46.2,2,5,40.0,2,2,100,0,2,2,1,3,0,0,3,4,2020-21
46,Keldon Johnson,SAS,vs.WAS,2021-01-24,W,28,13,5,9,55.6,1,1,100,2,2,100,0,4,4,1,0,0,1,1,-9,2020-21
47,Luka Samanic,SAS,vs.WAS,2021-01-24,W,2,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,1,2020-21
48,Devin Vassell,SAS,vs.WAS,2021-01-24,W,24,14,5,11,45.5,4,6,66.7,0,0,-,0,4,4,1,2,1,0,0,19,2020-21
49,Tre Jones,SAS,vs.WAS,2021-01-24,W,3,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,1,1,1,2020-21
50,Keita Bates-Diop,SAS,vs.WAS,2021-01-24,W,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,2020-21
51,Isaac Bonga,WAS,@SAS,2021-01-24,L,33,7,3,10,30.0,1,4,25.0,0,0,-,4,3,7,1,1,1,0,3,-13,2020-21
52,Patty Mills,SAS,vs.WAS,2021-01-24,W,21,21,8,14,57.1,4,8,50.0,1,1,100,1,3,4,3,1,0,1,0,29,2020-21
53,DeMar DeRozan,SAS,vs.WAS,2021-01-24,W,27,9,3,7,42.9,0,1,0.0,3,4,75.0,0,3,3,8,1,0,2,5,1,2020-21
54,Cassius Winston,WAS,@SAS,2021-01-24,L,22,8,3,7,42.9,2,5,40.0,0,0,-,0,4,4,2,0,1,1,2,-16,2020-21
55,Garrison Mathews,WAS,@SAS,2021-01-24,L,35,9,3,7,42.9,3,7,42.9,0,0,-,1,3,4,0,3,0,1,4,-10,2020-21
56,Jordan Bell,WAS,@SAS,2021-01-24,L,3,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,1,0,0,-1,2020-21
57,Alex Len,WAS,@SAS,2021-01-24,L,21,11,4,6,66.7,1,2,50.0,2,4,50.0,0,5,5,1,1,0,2,1,-13,2020-21
58,Bradley Beal,WAS,@SAS,2021-01-24,L,32,31,13,29,44.8,3,10,30.0,2,3,66.7,1,6,7,4,0,0,4,2,-2,2020-21
59,Russell Westbrook,WAS,@SAS,2021-01-24,L,25,9,3,11,27.3,1,3,33.3,2,4,50.0,3,5,8,6,0,0,4,1,-20,2020-21
60,Robin Lopez,WAS,@SAS,2021-01-24,L,24,8,3,5,60.0,0,0,-,2,2,100,3,4,7,5,0,1,2,1,-6,2020-21
61,Anthony Gill,WAS,@SAS,2021-01-24,L,10,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,0,-12,2020-21
62,Jerome Robinson,WAS,@SAS,2021-01-24,L,35,16,6,15,40.0,3,10,30.0,1,1,100,0,5,5,4,0,1,0,0,-7,2020-21
63,Evan Fournier,ORL,vs.CHA,2021-01-24,L,33,21,7,16,43.8,3,8,37.5,4,7,57.1,0,3,3,6,1,0,4,1,-6,2020-21
64,James Ennis III,ORL,vs.CHA,2021-01-24,L,22,8,3,7,42.9,2,2,100,0,0,-,3,2,5,2,2,1,1,2,10,2020-21
65,Jordan Bone,ORL,vs.CHA,2021-01-24,L,15,8,3,5,60.0,2,4,50.0,0,0,-,0,1,1,1,0,0,0,3,-3,2020-21
66,Gordon Hayward,CHA,@ORL,2021-01-24,W,38,39,15,25,60.0,5,8,62.5,4,8,50.0,2,7,9,1,1,1,2,2,-3,2020-21
67,Bismack Biyombo,CHA,@ORL,2021-01-24,W,25,2,1,1,100,0,0,-,0,2,0.0,1,4,5,2,2,1,2,4,-11,2020-21
68,Cody Zeller,CHA,@ORL,2021-01-24,W,15,4,2,7,28.6,0,2,0.0,0,0,-,3,4,7,4,0,1,0,1,5,2020-21
69,Caleb Martin,CHA,@ORL,2021-01-24,W,5,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,2020-21
70,Terrence Ross,ORL,vs.CHA,2021-01-24,L,30,10,4,8,50.0,2,5,40.0,0,0,-,1,1,2,3,0,0,1,0,-11,2020-21
71,Khem Birch,ORL,vs.CHA,2021-01-24,L,19,5,2,2,100,0,0,-,1,2,50.0,3,4,7,1,0,2,1,1,-6,2020-21
72,Gary Clark,ORL,vs.CHA,2021-01-24,L,35,14,4,7,57.1,4,7,57.1,2,2,100,1,3,4,2,0,0,0,2,-1,2020-21
