PLAYER  ,POS  ,DK_proj,Pts_proj,Reb_proj,Ast_proj,MSE_DK,MSE_Pts,MSE_Reb,MSE_Ast,Salary,Position,Cost_per_point,Points_Rank,Salary_Rank,Eligible
Bam Adebayo,PF,66.28,43.37,6.8,2.99,264.27,92.66,26.7,13.65,8600.0,C,129.75,2.0,16.5,True
Pascal Siakam,PF,53.0,29.95,8.25,3.54,128.06,96.4,10.87,5.59,7900.0,PF/C,149.06,10.0,26.5,True
John Collins,PF,50.65,23.36,15.25,2.32,140.73,64.04,15.41,1.62,7700.0,PF/C,152.02,13.0,29.5,True
LeBron James,SF,63.21,31.46,10.09,12.86,109.84,42.74,6.77,13.67,9900.0,PG/SF,156.62,3.0,7.0,True
Kristaps Porzingis,PF,52.3,20.69,14.14,0.86,287.19,125.61,8.79,2.71,8200.0,PF/C,156.79,12.0,21.5,True
Joel Embiid,C,59.69,29.36,14.1,4.23,368.57,129.75,20.36,3.43,9400.0,C,157.48,5.0,9.0,True
Eric Bledsoe,PG,36.49,17.98,5.81,5.39,152.64,56.84,6.19,6.3,5800.0,PG/SG,158.95,36.0,66.0,True
Rudy Gobert,C,44.93,15.95,16.16,1.63,87.51,28.58,13.28,1.54,7200.0,C,160.25,18.0,37.5,True
OG Anunoby,SF,41.019999999999996,15.62,5.6,1.48,233.06,60.64,7.0,1.6,6600.0,SF/PF,160.9,28.0,48.5,True
Shai Gilgeous-Alexander,PG,52.34,28.19,6.71,2.7,205.14,62.54,21.05,9.68,8500.0,PG,162.4,11.0,18.0,True
Fred VanVleet,PG,48.519999999999996,14.65,2.9,4.87,168.19,84.65,5.03,8.64,7900.0,PG/SG,162.82,17.0,26.5,True
Lonzo Ball,PG,34.32,11.03,6.94,6.43,108.7,35.74,8.79,8.92,5600.0,PG,163.17,44.0,74.0,True
Trae Young,PG,55.88,44.4,3.6,8.66,563.62,242.51,5.78,16.82,9200.0,PG,164.64,9.0,11.5,True
Steven Adams,C,32.83,12.97,9.22,1.9,148.69,37.52,15.05,2.92,5500.0,C,167.53,54.0,78.0,True
DeMar DeRozan,SG,42.37,24.96,4.89,5.54,97.4,61.22,4.32,7.12,7100.0,SF/PF,167.57,26.0,39.5,True
Danny Green,SG,25.38,12.39,5.03,0.97,109.6,33.75,4.12,2.28,4300.0,SF,169.42,99.0,129.0,True
Jalen Brunson,PG,27.74,14.6,4.41,4.22,115.52,50.27,2.0,5.37,4700.0,PG/SG,169.43,81.5,108.5,True
Dwight Howard,C,25.97,7.71,9.66,0.75,100.33,16.38,20.8,0.71,4400.0,C,169.43,93.0,122.0,True
Rudy Gay,SF,29.13,17.02,5.35,-1.38,125.69,44.47,6.19,2.67,5000.0,PF,171.64,71.0,97.0,True
Jrue Holiday,PG,43.09,20.35,5.61,7.85,162.56,67.77,3.38,7.72,7400.0,PG,171.73,24.0,35.0,True
Andre Drummond,C,48.54,19.08,16.71,0.91,186.7,40.46,26.98,3.38,8400.0,C,173.05,15.0,19.0,True
Joe Harris,SG,32.92,18.69,4.92,3.0,59.89,33.97,5.53,1.62,5700.0,SG/SF,173.15,52.0,69.5,True
James Harden,SG,58.32,36.82,5.51,6.0,296.52,164.52,10.87,10.73,10100.0,PG/SG,173.18,6.0,6.0,True
Marvin Bagley III,PF,32.89,18.09,8.88,1.52,64.33,27.09,7.84,0.75,5700.0,PF/C,173.3,53.0,69.5,True
Zion Williamson,PF,44.88,9.93,6.61,4.47,133.96,65.14,19.11,3.3,7800.0,PF/C,173.8,19.0,28.0,True
Mikal Bridges,SF,30.41,4.43,2.68,1.2,196.18,58.8,6.64,2.28,5300.0,SF,174.28,67.0,86.5,True
Giannis Antetokounmpo,PF,59.8,31.06,13.14,4.98,165.56,61.18,14.47,6.18,10700.0,PF/C,178.93,4.0,2.0,True
Tobias Harris,SF,40.21,22.19,8.66,2.36,108.23,37.85,8.9,2.63,7200.0,SF/PF,179.06,29.0,37.5,True
Anthony Davis,PF,50.22,24.68,9.39,3.65,199.9,70.5,10.89,2.88,9000.0,PF/C,179.21,14.0,13.0,True
Nikola Jokic,C,58.08,27.83,12.02,6.91,245.61,71.28,16.5,12.6,10500.0,C,180.79,7.0,3.0,True
Richaun Holmes,C,36.17,17.7,8.67,1.54,164.89,38.94,16.9,2.69,6600.0,C,182.47,38.0,48.5,True
Kemba Walker,PG,34.51,13.92,4.65,6.53,200.5,104.9,5.0,5.74,6300.0,PG,182.56,42.0,54.5,True
Brandon Ingram,SF,43.63,39.11,6.59,3.95,106.29,77.33,9.39,5.13,8000.0,SF/PF,183.36,21.0,25.0,True
Jae Crowder,SF,26.56,11.3,5.96,2.31,120.78,44.31,7.0,2.69,4900.0,SF/PF,184.49,88.0,100.0,True
Josh Jackson,SF,24.8,12.35,4.91,1.97,116.92,42.44,7.77,1.83,4600.0,SG/SF,185.48,103.0,114.0,True
Cameron Johnson,SF,25.84,16.94,2.01,1.67,175.34,60.34,11.21,1.82,4800.0,SF/PF,185.76,95.0,103.5,True
Gordon Hayward,SF,40.06,29.310000000000002,4.96,3.8,285.4,146.44,10.42,3.93,7500.0,SF/PF,187.22,30.0,33.0,True
James Wiseman,C,27.759999999999998,20.0,4.94,-0.63,318.98,132.15,20.03,5.22,5200.0,C,187.32,80.0,91.0,True
Derrick Rose,PG,28.2,17.71,2.18,4.98,120.5,54.44,3.18,5.58,5300.0,PG,187.94,77.0,86.5,True
Buddy Hield,SG,33.39,19.56,4.65,3.45,123.03,58.11,5.33,3.39,6300.0,SG/SF,188.68,47.0,54.5,True
Nikola Vucevic,C,48.53,20.42,13.65,4.15,81.6,31.8,7.91,3.53,9200.0,C,189.57,16.0,11.5,True
